"PLAN DE VENTAS — ECO DULCE (Fuente: Calculo Plan de Ventas.xlsx — validado en reunión con Marcelo, crecimiento a tercios con salto Año 5 por ingreso a supermercados)",,,,,
,,,,,
MERMELADAS,,,,,
Año,Unidades (frascos),Mercado (%),Crecimiento (%),Ventas (ARS),Ventas (USD)
1,635678,0.02,0.02,3496229000,2506257.35
2,794597.1,0.025,0.005,4370284050,3132820.11
3,953516.52,0.03,0.005,5244340860,3759384.13
4,1112435.94,0.035,0.005,6118397670,4385948.15
5,1907033.04,0.06,0.025,10488681720,7518768.26
6,2065952.46,0.065,0.005,11362738530,8145332.28
7,2224871.88,0.07,0.005,12236795340,8771896.3
8,2383791.3,0.075,0.005,13110852150,9398460.32
9,2542710.72,0.08,0.005,13984908960,10025024.34
10,2701630.14,0.085,0.005,14858965770,10651588.37
,,,,,
Composición por sabor (Mermeladas),,,,,
Durazno,0.45,,,,
Frutilla,0.23,,,,
Ciruela,0.23,,,,
Higo,0.05,,,,
Membrillo,0.04,,,,
,,,,,
SNACKS,,,,,
Año,Unidades (bolsas),Mercado (%),Crecimiento (%),Ventas (ARS),Ventas (USD)
1,407611.11,0.05,0,1222833333,876583.03
2,448372.22,0.055,0.005,1345116667,964241.34
3,489133.33,0.06,0.005,1467400000,1051899.64
4,529894.44,0.065,0.005,1589683333,1139557.95
5,978266.67,0.12,0.055,2934800000,2103799.28
6,1019027.78,0.125,0.005,3057083333,2191457.59
7,1059788.89,0.13,0.005,3179366667,2279115.89
8,1100550,0.135,0.005,3301650000,2366774.19
9,1141311.11,0.14,0.005,3423933333,2454432.5
10,1182072.22,0.145,0.005,3546216667,2542090.8
,,,,,
Composición por variedad (Snacks),,,,,
Banana,0.4,,,,
Pasas de uva,0.35,,,,
Manzana,0.1,,,,
Durazno,0.1,,,,
Ciruela,0.04,,,,
Kiwi,0.01,,,,
